Date and Time,Steps,Floors,Calories Burned,Elevation Gained,Feet - ignore,Miles,Miles - ignore,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,Cycle Day
"October 1, 2017",212,1,1418,10,feet,0.07,miles,919,10,0,0,11
"October 2, 2017","5,573",9,"1,986",,,1.85,,699,196,4,5,12
"October 3, 2017",5557,9,1915,90,feet,1.84,miles,792,219,0,0,13
"October 4, 2017","6,431",15,"2,054",,,2.18,,707,236,9,8,14
"October 5, 2017","4,976",8,"1,993",,,1.65,,882,166,4,7,15
"October 6, 2017","3,184",4,"1,893",,,1.06,,926,180,0,0,16
"October 7, 2017","3,088",9,"1,794",,,1.02,,753,145,0,0,17
"October 8, 2017",189,1,1437,10,feet,0.06,miles,992,10,0,0,18
"October 9, 2017",0,0,1395,0,feet,0,miles,1440,0,0,0,19
"October 10, 2017","7,928",21,"2,164",,,2.63,,"1,203",208,4,25,20
"October 11, 2017",6162,10,1991,100,feet,2.04,miles,863,207,12,10,21
"October 12, 2017",13094,13,2518,130,feet,4.56,miles,671,275,17,58,22
"October 13, 2017","4,271",6,"1,859",,,1.42,,677,142,4,6,23
"October 14, 2017","3,463",8,"1,828",,,1.15,,144,166,0,0,24
"October 15, 2017",4808,12,1933,120,feet,1.6,miles,709,241,0,0,25
"October 16, 2017",6192,11,2053,110,feet,2.05,miles,826,247,9,5,26
"October 17, 2017","4,653",9,"1,873",,,1.54,,603,166,0,0,27
"October 18, 2017",4853,7,1861,70,feet,1.69,miles,882,167,0,0,28
"October 19, 2017",213,1,"1,460",,,0.07,,863,11,0,0,29
"October 20, 2017",0,0,"1,433",,,0,,"1,440",0,0,0,30
"October 21, 2017",0,0,"1,434",,,0,,"1,440",0,0,0,1
"October 22, 2017",0,0,"1,434",,,0,,"1,440",0,0,0,2
"October 23, 2017",0,0,1395,0,feet,0,miles,1440,0,0,0,3
"October 24, 2017",54,0,"1,442",,,0.02,,"1,437",3,0,0,4
"October 25, 2017","6,204",17,"2,111",,,2.06,,611,225,21,8,5
"October 26, 2017","6,214",11,"2,031",,,2.06,,790,218,0,0,6
"October 27, 2017","1,704",8,"1,618",,,0.57,,849,74,0,0,7
"October 28, 2017","5,020",13,"2,015",,,1.67,,517,230,0,0,8
"October 29, 2017",2457,5,1647,50,feet,0.82,miles,767,117,0,0,9
"October 30, 2017",4606,12,1805,120,feet,1.53,miles,1302,127,5,6,10
"October 31, 2017",13815,14,2445,140,feet,4.6,miles,632,361,22,2,11
"November 1, 2017",5709,9,1973,90,feet,1.89,miles,824,210,0,0,12
"November 2, 2017","3,834",5,"1,938",,,1.27,,"1,167",162,0,0,13
"November 3, 2017","6,477",10,"2,068",,,2.15,,450,227,5,5,14
"November 4, 2017",3410,7,1733,70,feet,1.13,miles,1300,140,0,0,15
"November 5, 2017",1869,4,1674,40,feet,0.62,miles,828,102,0,0,16
"November 6, 2017",9342,7,2252,70,feet,3.1,miles,775,267,11,24,17
"November 7, 2017",6529,10,2108,100,feet,2.23,miles,1105,243,5,3,18
"November 8, 2017",4702,6,1864,60,feet,1.64,miles,894,165,3,5,19
"November 9, 2017","5,148",12,"1,975",,,1.71,,766,188,6,5,20
"November 10, 2017",138,1,"1,472",,,0.05,,"1,022",9,0,0,21
"November 11, 2017","3,671",11,"1,904",,,1.22,,"1,254",186,0,0,22
"November 12, 2017","3,841",6,"1,874",,,1.27,,611,175,0,0,23
"November 13, 2017","4,860",8,"1,957",,,1.61,,679,220,0,0,24
"November 14, 2017","7,342",10,"2,142",,,2.52,,609,240,13,12,25
"November 15, 2017","4,718",10,"1,886",,,1.68,,731,160,0,0,26
"November 16, 2017",4326,11,1858,110,feet,1.44,miles,768,202,0,0,27
"November 17, 2017",6797,20,2130,200,feet,2.28,miles,1145,283,8,4,28
"November 18, 2017",3321,9,1693,90,feet,1.1,miles,854,109,0,0,1
"November 19, 2017",3419,10,1768,100,feet,1.13,miles,1274,166,0,0,2
"November 20, 2017",5042,9,1938,90,feet,1.86,miles,784,207,0,0,3
"November 21, 2017","8,794",13,"2,190",,,2.92,,725,229,10,20,4
"November 22, 2017","4,429",10,"1,838",,,1.47,,"1,116",158,0,0,5
"November 23, 2017","4,398",12,"1,959",,,1.46,,0,225,0,0,6
"November 24, 2017","7,185",23,"2,088",,,2.5,,106,248,2,15,7
"November 25, 2017",4638,10,1886,100,feet,1.54,miles,488,230,0,0,8
"November 26, 2017",8021,13,2209,130,feet,2.66,miles,665,313,0,0,9
"November 27, 2017","9,953",7,"2,212",,,3.3,,637,201,15,35,10
"November 28, 2017","8,929",6,"2,155",,,2.96,,665,171,21,34,11
"November 29, 2017",7720,2,2077,20,feet,2.58,miles,665,228,5,8,12
"November 30, 2017",8382,5,2223,50,feet,2.78,miles,706,221,30,20,13
"December 1, 2017",4266,8,1842,80,feet,1.42,miles,856,168,0,0,14
"December 2, 2017","2,231",6,"1,693",,,0.74,,854,110,0,0,15
"December 3, 2017",8036,11,2362,110,feet,2.67,miles,1041,399,0,0,16
"December 4, 2017",6191,6,2060,60,feet,2.05,miles,783,253,3,5,17
"December 5, 2017",7669,8,2103,80,feet,2.54,miles,975,245,7,3,18
"December 6, 2017","6,563",5,"2,131",,,2.18,,804,232,5,3,19
"December 7, 2017",5826,8,2024,80,feet,1.93,miles,794,223,8,6,20
"December 8, 2017",4149,5,1899,50,feet,1.38,miles,547,214,0,0,21
"December 9, 2017","9,782",13,"2,619",,,3.25,,669,334,8,6,22
"December 10, 2017","7,222",4,"2,453",,,2.4,,696,388,0,0,23
"December 11, 2017","6,031",0,"2,286",,,2,,670,339,0,0,1
"December 12, 2017","6,111",4,"2,110",,,2.03,,691,281,0,0,2
"December 13, 2017","3,900",8,"1,814",,,1.29,,855,142,0,0,3
"December 14, 2017",0,0,"1,433",,,0,,"1,440",0,0,0,4
"December 15, 2017","1,615",5,"1,634",,,0.54,,"1,351",89,0,0,5
"December 16, 2017","2,755",7,"1,761",,,0.91,,773,145,0,0,6
"December 17, 2017","5,862",9,"2,111",,,1.95,,591,280,0,0,7
"December 18, 2017","5,312",6,"2,024",,,1.76,,752,219,0,0,8
"December 19, 2017","6,061",7,"2,092",,,2.01,,894,215,9,8,9
"December 20, 2017","7,457",14,"2,120",,,2.47,,762,195,21,8,10
"December 21, 2017","5,688",4,"2,088",,,1.89,,633,258,0,0,11
"December 22, 2017",27,0,"1,440",,,0.01,,929,4,0,0,12
"December 23, 2017","4,638",9,"1,974",,,1.54,,"1,206",234,0,0,13
"December 24, 2017","6,043",11,"2,158",,,2.01,,525,263,11,0,14
